n_ot,producto_id,descripcion,cantidad,anio,mes,km,tipo_ot_desc,c_repuesto,descripcion_repuesto,marca_repuesto
10000392,SIN_CODIGO,Soporte De Motor (derecho),1.0,2024,11,80101,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000391,SIN_CODIGO,Pastillas De Freno Delt.,1.0,2024,11,103918,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000391,SIN_CODIGO,Pastillas De Freno Post,1.0,2024,11,103918,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000392,01001-04007,Abrazadera Chica Poncho De Palier 25-40 Mm,1.0,2024,11,80101,Reparación / Servicio,01001-04007,REPUESTO FALTANTE,SIN MARCA
10000405,SIN_CODIGO,Filtro De Aceite De Motor,1.0,2024,11,122215,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000405,SIN_CODIGO,Filtro De Aire De Motor,1.0,2024,11,122215,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000396,SIN_CODIGO,Bomba De Direccion,1.0,2024,11,127617,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000423,01001-01033,Aceite De Motor Sae 5w-30,5.0,2024,11,121446,Reparación / Servicio,01001-01033,REPUESTO FALTANTE,SIN MARCA
10000450,01001-06086,Filtro De Aceite,1.0,2024,12,101050,Reparación / Servicio,01001-06086,REPUESTO FALTANTE,SIN MARCA
10000456,01001-01006,Liquido De Freno Dot4  500ml,2.0,2024,12,109749,Reparación / Servicio,01001-01006,REPUESTO FALTANTE,SIN MARCA
10000460,SIN_CODIGO,Filtro De Aceite,1.0,2024,12,105450,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000464,01001-06014,Filtro De Aceite,1.0,2025,1,80315,Reparación / Servicio,01001-06014,REPUESTO FALTANTE,SIN MARCA
10000464,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2025,1,80315,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000460,SIN_CODIGO,Bujias,4.0,2024,12,105450,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000466,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2025,1,118423,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000440,01001-02008,Foco Lagrima Chico W5w 12v 5w,2.0,2024,12,164332,Reparación / Servicio,01001-02008,REPUESTO FALTANTE,SIN MARCA
10000455,01001-06086,Filtro De Aceite,1.0,2024,12,32499,Reparación / Servicio,01001-06086,REPUESTO FALTANTE,SIN MARCA
10000450,01001-02015,Bateria Bosch - 70b-24ls (58d-51r),1.0,2024,12,101050,Reparación / Servicio,01001-02015,REPUESTO FALTANTE,SIN MARCA
10000471,SIN_CODIGO,Filtro De Petroleo Primario,1.0,2025,1,78334,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000443,01001-01032,Aceite De Motor Sae 5w-30,4.0,2024,12,39468,Reparación / Servicio,01001-01032,REPUESTO FALTANTE,SIN MARCA
10000435,01001-01033,Aceite De Motor Sae 5w-30,6.0,2024,12,65727,Reparación / Servicio,01001-01033,REPUESTO FALTANTE,SIN MARCA
10000442,MC,Material Consumible,1.0,2024,12,111457,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000472,01001-06028,Filtro De Cabina A/c,1.0,2025,1,114726,Reparación / Servicio,01001-06028,REPUESTO FALTANTE,SIN MARCA
10000486,01001-01002,Aceite De Motor 10w30,6.0,2025,1,135337,Reparación / Servicio,01001-01002,REPUESTO FALTANTE,SIN MARCA
10000484,01001-01004,Shampoo Limpiaparabrisas Wurth 32ml.,1.0,2025,1,91268,Reparación / Servicio,01001-01004,REPUESTO FALTANTE,SIN MARCA
10000479,01001-09006,"Plumilla 24""""",1.0,2025,1,55668,Reparación / Servicio,01001-09006,REPUESTO FALTANTE,SIN MARCA
10000493,SIN_CODIGO,Jgo. De Rodajes Y Retenes Delanteros,1.0,2025,1,91962,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000495,01001-01501,Limpieza Sistema Gasolina E Inyectores,1.0,2025,1,99675,Reparación / Servicio,01001-01501,REPUESTO FALTANTE,SIN MARCA
10000499,SIN_CODIGO,Accesorios De Bombin,1.0,2025,1,103884,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000516,MC,Material Consumible,1.0,2025,2,68954,Reparación / Servicio,MC,REPUESTO FALTANTE,SIN MARCA
10000526,SIN_CODIGO,Filtro De Cabina,1.0,2025,2,46737,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000530,SIN_CODIGO,Filtro De Cabina,1.0,2025,2,110261,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000517,SIN_CODIGO,Jgo. Guia De Valvulas,1.0,2025,2,86365,Reparación / Servicio,SIN_CODIGO,REPUESTO FALTANTE,SIN MARCA
10000539,01001-02015,Bateria Bosch - 70b-24ls (58d-51r),1.0,2025,2,38401,Reparación / Servicio,01001-02015,REPUESTO FALTANTE,SIN MARCA
10000517,01001-01022,Aceite De Motor Diesel 15w40,8.0,2025,2,86365,Reparación / Servicio,01001-01022,REPUESTO FALTANTE,SIN MARCA
