N_OC,CANTIDAD,OBSERVACION,PRECIO_UNITARIO,TOTAL,C_REPUESTO,IDINTERNO
10000024,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50355714
10000024,1,Requerimiento Inmediato,16.95,16.95,01001-06007,50355715
10000024,4,Requerimiento Inmediato,12.72,50.88,01001-03013,50355716
10000028,1,Requerimiento Inmediato,12.72,12.72,01001-06014,50355795
10000030,12,,59.33,711.96,01001-01012,50355833
10000035,1,Requerimiento Inmediato,3.18,3.18,01001-03016,50355933
10000035,1,Requerimiento Inmediato,0.93,0.93,01001-03017,50355934
10000036,1,Requerimiento Inmediato,7.17,7.17,01001-03014,50355953
10000036,1,Requerimiento Inmediato,10.66,10.66,01001-03015,50355954
10000040,2,,4.66,9.32,01001-05005,50356033
10000044,2,Requerimiento Inmediato,76.27,152.54,01001-04004,50356113
10000046,4,Requerimiento Inmediato,10.6,42.4,01001-03024,50356153
10000047,1,Requerimiento Inmediato,19.5,19.5,01001-06020,50356173
10000047,1,Requerimiento Inmediato,21.19,21.19,01001-06021,50356174
10000049,2,,4.16,8.32,01001-05005,50356213
10000050,1,Requerimiento Inmediato,135.6,135.6,01001-05007,50356233
10000050,1,Requerimiento Inmediato,118.65,118.65,01001-05008,50356234
10000051,8,Requerimiento Inmediato,42.38,339.04,01001-03025,50356253
10000054,1,Requerimiento Inmediato,16.95,16.95,01001-06022,50356313
10000054,1,Requerimiento Inmediato,11.87,11.87,01001-06023,50356314
10000054,1,Requerimiento Inmediato,21.19,21.19,01001-06024,50356315
10000056,1,,237.3,237.3,01001-02013,50356353
10000056,10,,5.51,55.1,01001-02014,50356354
10000059,1,Requerimiento Inmediato,357.72,357.72,01001-05010,50356413
10000059,1,Requerimiento Inmediato,276.41,276.41,01001-05011,50356414
10000059,2,Requerimiento Inmediato,26.15,52.3,01001-05012,50356415
10000063,1,Requerimiento Inmediato,135.59,135.59,01001-05007,50356453
10000064,4,Requerimiento Inmediato,10.6,42.4,01001-03024,50356454
10000067,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50356461
10000068,9,Requerimiento Inmediato,8.47,76.23,01001-21006,50356462
10000069,6,Requerimiento Inmediato,11.02,66.12,01001-21007,50356463
10000070,30,Requerimiento Inmediato,4.34,130.2,01001-21008,50356464
10000071,1,Requerimiento Inmediato,118.65,118.65,01001-04006,50356465
10000079,2,,10.17,20.34,01001-02017,50356613
10000080,32,,25.43,813.76,01001-01001,50356614
10000081,1,Requerimiento Inmediato,932.2,932.2,01001-03031,50356633
10000082,1,Requerimiento Inmediato,12.71,12.71,01001-03032,50356653
10000089,32,,20.13,644.16,01001-01002,50356733
10000089,16,,20.13,322.08,01001-01008,50356734
10000089,16,,25.42,406.72,01001-01016,50356735
10000089,16,,25.42,406.72,01001-01001,50356736
10000093,1,Requerimiento Inmediato,152.55,152.55,01001-05017,50356780
10000096,1,Requerimiento Inmediato por OV,245.76,245.76,01001-02502,50356793
10000097,1,Requerimiento Inmediato,55.09,55.09,01001-21025,50356813
10000098,1,Requerimiento Inmediato,46.62,46.62,01001-21022,50356833
10000098,2,Requerimiento Inmediato,15.25,30.5,01001-21023,50356834
10000098,2,Requerimiento Inmediato,3.39,6.78,01001-21024,50356835
10000099,2,Requerimiento Inmediato,3.39,6.78,01001-21021,50356853
10000101,1,Requerimiento Inmediato,228.82,228.82,01001-21017,50356893
10000101,1,Requerimiento Inmediato,76.28,76.28,01001-21018,50356894
10000101,1,Requerimiento Inmediato,38.13,38.13,01001-21019,50356895
10000102,100,Requerimiento Inmediato,3.82,382,01001-21016,50356913
10000104,1,Requerimiento Inmediato,127.12,127.12,01001-05019,50356953
10000105,1,Requerimiento Inmediato,161.02,161.02,01001-03039,50356954
10000106,1,Requerimiento Inmediato,595.35,595.35,01001-03040,50356973
10000108,1,Requerimiento Inmediato,19.5,19.5,01001-06020,50357013
10000108,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50357014
10000109,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357015
10000115,1,Requerimiento Inmediato,21.19,21.19,01001-06043,50357113
10000115,1,Requerimiento Inmediato,13.56,13.56,01001-06044,50357114
10000115,1,Requerimiento Inmediato,19.5,19.5,01001-06045,50357115
10000115,4,Requerimiento Inmediato,14.83,59.32,01001-03043,50357116
10000119,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357173
10000126,1,Requerimiento Inmediato,26.06,26.06,01001-06046,50357293
10000126,1,Requerimiento Inmediato,67.5,67.5,01001-06047,50357294
10000126,1,Requerimiento Inmediato,97.17,97.17,01001-06048,50357295
10000132,1,Requerimiento Inmediato,47.18,47.18,01001-01021,50357413
10000135,1,Requerimiento Inmediato,186.44,186.44,01001-02003,50357473
10000136,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357493
10000141,1,Requerimiento Inmediato,16.95,16.95,01001-06056,50357519
10000141,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50357520
10000141,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50357521
10000143,3,,7.43,22.29,01001-03046,50357526
10000143,3,,4.51,13.53,01001-03014,50357527
10000143,3,,6.71,20.13,01001-03015,50357528
10000143,3,,2.62,7.86,01001-03021,50357529
10000143,3,,1.67,5.01,01001-03022,50357530
10000143,3,,2,6,01001-03016,50357531
10000143,3,,0.59,1.77,01001-03017,50357532
10000152,1,Requerimiento Inmediato,118.64,118.64,01001-05038,50357613
10000153,1,,105.95,105.95,01001-21026,50357614
10000160,1,Requerimiento Inmediato,12.71,12.71,01001-06002,50357753
10000161,1,Requerimiento Inmediato,27.12,27.12,01001-06062,50357773
10000007,1,Requerimiento Inmediato,127.12,127.12,01001-05002,50355473
10000011,1,Requerimiento Inmediato,21.19,21.19,01001-06004,50355513
10000012,1,Requerimiento Inmediato,12.72,12.72,01001-06002,50355533
10000013,1,Requerimiento Inmediato,15.51,15.51,01001-21001,50355553
10000013,1,Requerimiento Inmediato,14.84,14.84,01001-21002,50355554
10000013,1,Requerimiento Inmediato,29.16,29.16,01001-21003,50355555
10000015,4,Requerimiento Inmediato,9.33,37.32,01001-03009,50355593
10000016,1,Requerimiento Inmediato,160.51,160.51,01001-03006,50355613
10000020,2,,3.39,6.78,01001-03010,50355638
10000020,1,,21.19,21.19,01001-07002,50355639
10000022,1,Requerimiento Inmediato,29.66,29.66,01001-21005,50355673
10000025,1,Requerimiento Inmediato,110.17,110.17,01001-05004,50355733
10000026,1,Requerimiento Inmediato,37.86,37.86,01001-06008,50355753
10000026,1,Requerimiento Inmediato,79.57,79.57,01001-06009,50355754
10000026,1,Requerimiento Inmediato,62.75,62.75,01001-06010,50355755
10000034,2,Requerimiento Inmediato,127.12,254.24,01001-05003,50355913
10000034,1,Requerimiento Inmediato,29.66,29.66,01001-03012,50355914
10000037,4,Requerimiento Inmediato,38.14,152.56,01001-03019,50355973
10000038,1,Requerimiento Inmediato,21.19,21.19,01001-03020,50355993
10000042,1,Requerimiento Inmediato,583.77,583.77,01001-07003,50356073
10000048,1,Requerimiento Inmediato,21.19,21.19,01001-04005,50356193
10000052,12,,59.33,711.96,01001-01014,50356273
10000053,12,,15.5,186,01001-01504,50356293
10000061,1,Requerimiento Inmediato,95.76,95.76,01001-02015,50356434
10000061,1,Requerimiento Inmediato,46.61,46.61,01001-02016,50356435
10000065,1,Requerimiento Inmediato,16.95,16.95,01001-06025,50356455
10000065,1,Requerimiento Inmediato,11.87,11.87,01001-06026,50356456
10000065,1,Requerimiento Inmediato,16.95,16.95,01001-06003,50356457
10000072,2,,12.72,25.44,01001-06002,50356473
10000072,2,,21.18,42.36,01001-06027,50356474
10000072,2,,21.18,42.36,01001-06028,50356475
10000072,4,,7.42,29.68,01001-03027,50356476
